epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
98,6737.67,1.06543,1.72046,0.83181,1.15084,0,0.75561,0.63195,0.67119,0.45938,0.61527,0.48762,0.48474,0.29983,1.30341,1.88615,1.04058,1.33186,0,0.000284906,0.000284906,0.000284906
99,6804.5,1.06673,1.71793,0.82533,1.15536,0,0.76241,0.63344,0.6741,0.46609,0.61528,0.49462,0.49269,0.31247,1.30525,1.87077,1.04281,1.32566,0,0.000275668,0.000275668,0.000275668
100,6870.95,1.06704,1.73246,0.83303,1.15791,0,0.76483,0.63361,0.67643,0.46995,0.61959,0.49371,0.49166,0.31209,1.29715,1.87626,1.03941,1.32221,0,0.000266532,0.000266532,0.000266532
101,6938.42,1.05951,1.70736,0.82306,1.15594,0,0.7523,0.63227,0.67539,0.46582,0.6173,0.48802,0.49054,0.3104,1.29651,1.86099,1.04192,1.3198,0,0.0002575,0.0002575,0.0002575
102,7005.33,1.04968,1.67657,0.80479,1.14011,0,0.75903,0.63289,0.67635,0.46861,0.6248,0.49272,0.49263,0.31184,1.29031,1.86672,1.02248,1.31377,0,0.000248577,0.000248577,0.000248577
103,7072.59,1.03444,1.67057,0.7969,1.13976,0,0.76727,0.63369,0.67802,0.47009,0.6282,0.49395,0.49283,0.31253,1.29423,1.86913,1.03006,1.32154,0,0.000239766,0.000239766,0.000239766
104,7138.27,1.03513,1.65954,0.79513,1.1313,0,0.76806,0.63567,0.67724,0.47124,0.63652,0.50088,0.50112,0.31653,1.28774,1.87778,1.02565,1.3185,0,0.000231071,0.000231071,0.000231071
105,7204.74,1.0454,1.69887,0.80796,1.14255,0,0.76597,0.62956,0.67542,0.46814,0.63076,0.48656,0.49156,0.31265,1.29804,1.86233,1.04083,1.32569,0,0.000222497,0.000222497,0.000222497
106,7270.64,1.05149,1.70463,0.8138,1.1482,0,0.76414,0.63324,0.67712,0.47081,0.63529,0.49464,0.49475,0.31441,1.28806,1.86975,1.03229,1.32077,0,0.000214046,0.000214046,0.000214046
107,7336.61,1.03803,1.67786,0.80057,1.13773,0,0.7678,0.62753,0.67492,0.47012,0.62334,0.48877,0.48855,0.31072,1.28865,1.87045,1.03855,1.31675,0,0.000205723,0.000205723,0.000205723
108,7402.8,1.03344,1.67955,0.79213,1.1312,0,0.77123,0.6303,0.67606,0.46937,0.63029,0.4944,0.4948,0.31409,1.29301,1.86891,1.03115,1.32162,0,0.000197532,0.000197532,0.000197532
109,7468.97,1.02405,1.66571,0.78147,1.13018,0,0.76896,0.63735,0.67756,0.47061,0.62755,0.50075,0.49722,0.31414,1.29006,1.87841,1.02141,1.32646,0,0.000189475,0.000189475,0.000189475
110,7535.47,1.02065,1.66212,0.78784,1.13323,0,0.76832,0.63556,0.6767,0.46829,0.62723,0.49247,0.49196,0.31077,1.28765,1.87039,1.01925,1.32036,0,0.000181557,0.000181557,0.000181557
111,7601.5,1.0185,1.65818,0.77994,1.13102,0,0.76751,0.63605,0.67656,0.47172,0.63097,0.499,0.49516,0.31369,1.28369,1.8745,1.02994,1.31792,0,0.00017378,0.00017378,0.00017378
112,7667.69,1.01584,1.63656,0.77668,1.12782,0,0.76721,0.64016,0.67823,0.47386,0.6258,0.50502,0.49853,0.31771,1.28809,1.87646,1.01761,1.3249,0,0.000166149,0.000166149,0.000166149
113,7733.36,1.00725,1.63201,0.7621,1.11934,0,0.76276,0.6352,0.67549,0.47298,0.6365,0.49985,0.49677,0.31679,1.2894,1.86922,1.02368,1.3192,0,0.000158667,0.000158667,0.000158667
114,7798.25,1.01457,1.65327,0.77046,1.12315,0,0.75969,0.64231,0.6786,0.47505,0.63334,0.50124,0.4974,0.31704,1.28436,1.87837,1.02117,1.3199,0,0.000151336,0.000151336,0.000151336
115,7863.65,1.01489,1.65395,0.77215,1.12228,0,0.76277,0.63512,0.67502,0.47125,0.6266,0.49426,0.49395,0.31416,1.27972,1.87319,1.02977,1.31921,0,0.000144161,0.000144161,0.000144161
116,7928.04,1.02391,1.66172,0.77939,1.12345,0,0.76551,0.63583,0.67731,0.472,0.63479,0.49598,0.49811,0.31521,1.28588,1.8673,1.02395,1.32375,0,0.000137143,0.000137143,0.000137143
117,7992.31,1.01368,1.64469,0.77228,1.12433,0,0.76603,0.63655,0.67655,0.47272,0.62827,0.4949,0.49584,0.31459,1.2866,1.87956,1.02647,1.32835,0,0.000130287,0.000130287,0.000130287
118,8056.59,0.98893,1.60914,0.75294,1.11453,0,0.76753,0.63542,0.6758,0.47252,0.63091,0.49909,0.49643,0.31557,1.28708,1.8714,1.02701,1.32562,0,0.000123596,0.000123596,0.000123596
119,8122.2,1.01121,1.65662,0.77093,1.12208,0,0.76678,0.63768,0.67768,0.47396,0.63456,0.49978,0.50013,0.31763,1.27948,1.86697,1.02058,1.32011,0,0.000117072,0.000117072,0.000117072
120,8186.99,1.00604,1.63017,0.75509,1.11482,0,0.77137,0.63582,0.67848,0.47448,0.63078,0.49756,0.49713,0.31678,1.27787,1.87168,1.01764,1.32216,0,0.000110718,0.000110718,0.000110718
